VARIEDAD,TAMFLOR,LONGPET,ANCHOPET,SUPHOJA,LONANCHO,PECLIMBO,PESOF
BLANCO,33.26,13.90,18.32,44.09,1.05,0.41,49.29
BULIDA,26.84,13.44,15.88,36.67,1.11,0.39,49.00
CURROT_T,28.84,12.68,15.44,51.72,0.91,0.39,43.04
CANINO,27.52,12.32,14.28,36.04,1.00,0.45,66.79
CANINO_T,33.88,14.40,16.40,38.97,1.06,0.31,63.11
CHIRIVEL,26.32,13.36,15.04,41.28,0.99,0.41,43.80
CORBATO,30.63,13.79,17.04,42.06,0.99,0.38,39.63
CRISTALI,27.60,13.68,17.40,53.33,1.08,0.34,44.98
CURROT,28.80,12.32,15.24,50.01,0.88,0.41,40.77
GABACHET,29.60,12.28,14.40,40.14,0.99,0.41,21.44
GANDIA,24.68,10.68,12.36,39.31,1.00,0.44,38.75
GINESTA,25.04,11.32,12.24,33.53,1.04,0.37,40.96
MANRI,24.08,13.20,15.48,36.88,1.02,0.42,39.39
MARTINET,35.00,14.40,18.24,36.94,1.02,0.44,54.70
PALABRAS,27.36,12.00,13.84,34.13,0.99,0.38,44.65
PALAU,29.34,12.56,14.63,42.03,1.02,0.40,39.65
R_CARLET,30.49,13.29,16.49,41.55,0.99,0.41,47.16
